*START-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
We,O
compiled,O
and,O
analyzed,O
past,O
time,O
-,O
series,O
data,O
to,O
evaluate,O
changes,O
in,O
oceanographic,O
conditions,O
and,O
marine,O
ecosystems,O
near,O
the,O
Ieodo,O
ocean,O
research,O
station,O
(,O
IORS,O
),O
in,O
the,O
East,O
China,O
Sea,O
(,O
N,O
31,O
°,O
15′–33,O
°,O
45′,O
",",O
E,O
124,O
°,O
15′–127,O
°,O
45′,O
),O
in,O
relation,O
to,O
longterm,O
changes,O
in,O
climate,O
and,O
global,O
warming,O
.,O
*END-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
*START-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
The,O
environment,O
data,O
we,O
used,O
was,O
a,O
depth,O
-,O
specific,O
time,O
-,O
series,O
of,O
temperature,O
and,O
salinity,O
for,O
the,O
water,O
columns,O
at,O
175,O
fixed,O
stations,O
along,O
22,O
oceanographic,O
lines,O
in,O
Korean,O
waters,O
",",O
based,O
on,O
bimonthly,O
measurements,O
since,O
1961,O
taken,O
by,O
the,O
National,O
Fisheries,O
Research,O
&,O
Development,O
Institute,O
.,O
*END-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
*START-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
As,O
an,O
indicator,O
for,O
the,O
ecosystem,O
status,O
of,O
the,O
waters,O
off,O
Ieodo,O
",",O
we,O
analyzed,O
species,O
composition,O
in,O
biomass,O
of,O
fishes,O
caught,O
by,O
Korean,O
fishing,O
vessels,O
in,O
the,O
waters,O
near,O
the,O
IORS,O
(,O
1984–2010,O
),O
and,O
summarized,O
the,O
data,O
in,O
relation,O
to,O
the,O
environmental,O
changes,O
using,O
canonical,O
correspondence,O
analysis,O
(,O
CCA,O
),O
.,O
*END-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
*START-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
To,O
detect,O
step,O
changes,O
in,O
the,O
time,O
-,O
series,O
of,O
environmental,O
factors,O
",",O
we,O
applied,O
a,O
sequential,O
t,O
-,O
test,O
analysis,O
of,O
regime,O
shift,O
.,O
*END-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
*START-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
Correspondence,O
analysis,O
detected,O
a,O
major,O
shift,O
in,O
fish,O
assemblage,O
structure,O
between,O
1990,O
and,O
1993,O
:,O
the,O
dominant,O
species,O
was,O
filefish,O
during,O
1981–1992,O
",",O
but,O
chub,O
mackerel,O
during,O
1992–2007,O
.,O
*END-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
*START-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
This,O
shift,O
in,O
fish,O
assemblage,O
structure,O
seemed,O
to,O
be,O
related,O
to,O
the,O
well,O
-,O
established,O
1989,O
regime,O
shift,O
in,O
the,O
North,O
Pacific,O
",",O
which,O
was,O
confirmed,O
again,O
with,O
respect,O
to,O
temperature,O
in,O
the,O
Yellow,O
Sea,O
and,O
the,O
Korea,O
Strait,O
(,O
but,O
not,O
in,O
the,O
waters,O
off,O
the,O
IORS,O
),O
.,O
*END-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
*START-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
In,O
overall,O
from,O
1984,O
to,O
2010,O
",",O
salinity,O
was,O
more,O
important,O
than,O
water,O
temperature,O
in,O
CCA,O
",",O
implying,O
that,O
the,O
fluctuation,O
of,O
the,O
Tsushima,O
warm,O
current,O
is,O
a,O
most,O
important,O
force,O
driving,O
the,O
long,O
-,O
term,O
changes,O
in,O
fish,O
assemblage,O
structure,O
in,O
the,O
waters,O
off,O
the,O
IORS,O
.,O
*END-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
*START-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
Further,O
multidisciplinary,O
researches,O
are,O
required,O
to,O
identify,O
oceanographic,O
and,O
biological,O
processes,O
that,O
link,O
climate,O
-,O
driven,O
physical,O
changes,O
to,O
fish,O
recruitment,O
and,O
habitat,O
range,O
fluctuations,O
.,O
*END-SENTENCE*,Decadal changes in fish assemblages in waters near the Ieodo ocean research station (East China Sea) in relation to climate change from 1984 to 2010
*START-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
Based,O
on,O
daily,O
precipitation,O
records,O
in,O
the,O
Sichuan,O
province,O
",",O
spatiotemporal,O
changes,O
in,O
extreme,O
precipitation,O
from,O
1961,O
to,O
2017,O
and,O
the,O
relation,O
to,O
ocean,O
-,O
atmospheric,O
climate,O
were,O
investigated,O
.,O
*END-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
*START-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
The,O
trends,O
and,O
their,O
statistical,O
significance,O
were,O
computed,O
with,O
the,O
nonparametric,O
Sen,O
’s,O
and,O
Mann,O
–,O
Kendall,O
tests,O
.,O
*END-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
*START-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
The,O
characteristics,O
of,O
mutation,O
and,O
period,O
were,O
investigated,O
with,O
heuristic,O
segmentation,O
and,O
continuous,O
wavelet,O
transform,O
.,O
*END-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
*START-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
The,O
relations,O
between,O
extreme,O
precipitation,O
and,O
ocean,O
-,O
atmospheric,O
climate,O
were,O
diagnosed,O
by,O
cross,O
-,O
wavelet,O
analysis,O
.,O
*END-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
*START-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
The,O
results,O
comprised,O
three,O
aspects,O
.,O
*END-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
*START-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
(,O
1,O
),O
The,O
intensity,O
",",O
frequency,O
",",O
and,O
duration,O
of,O
extreme,O
precipitation,O
increased,O
in,O
the,O
Sichuan,O
plateau,O
",",O
while,O
the,O
intensity,O
and,O
frequency,O
of,O
extreme,O
precipitation,O
decreased,O
",",O
but,O
the,O
duration,O
of,O
extreme,O
precipitation,O
did,O
not,O
change,O
in,O
the,O
Sichuan,O
basin,O
.,O
*END-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
*START-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
The,O
contrary,O
trends,O
of,O
extreme,O
precipitation,O
indices,O
may,O
have,O
been,O
influenced,O
by,O
the,O
complex,O
local,O
geography,O
",",O
dramatically,O
increased,O
human,O
activity,O
",",O
and,O
source,O
transportation,O
of,O
water,O
vapor,O
.,O
*END-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
*START-SENTENCE*,Variation patterns of extreme precipitation and relation to ocean-atmospheric climate in Sichuan province China from 1961 to 2017
(,O
2,O
),O
Temporally,O
",",O
the,O
trends,O
in,O
extreme,O
precipitation,O
indices,O
constituted,O
slight,O
changes,O
in,O
the,O
Sichuan,O
province,O
.,O
